Ir-196,0.034594595,5.49,25.3
Ir-196m,0.378378378,4.43,15.9
K-38,0.418918919,12.1,49.6
K-40,0.021054054,17.6,50.8
K-42,0.037027027,18.2,52.3
K-43,0.148108108,4.62,16.8
K-44,0.302702703,17.2,52
K-45,0.234594595,16.8,53.1
K-46,0.345945946,18.7,54.7
Kr-74,0.160540541,3.95,14.5
Kr-75,0.193243243,4.72,17.3
Kr-76,0.064324324,2.15,9.34
Kr-77,0.156216216,3.99,14.5
Kr-79,0.037837838,3.9,16.2
Kr-81,0.000121622,1.35,4.18
Kr-81m,0.017783784,0.675,1.93
Kr-83m,1.11622E-05,0.0271,0.0833
Kr-85,0.000345946,5,15.3
Kr-85m,0.021351351,0.626,2.81
Kr-87,0.102972973,10.9,48.1
Kr-88,0.242432432,18.1,56.1
Kr-89,0.25,13.8,48.2
La-128,0.424324324,6.55,27.5
La-129,0.148108108,3.91,15.7
La-130,0.332432432,6.44,27.5
La-131,0.113243243,2.95,14
La-132,0.289189189,7.72,34.7
La-132m,0.108378378,4.42,20.6
La-133,0.035945946,1.32,13.1
La-134,0.115135135,4.84,16
La-135,0.018162162,0.0329,0.19
La-136,0.071081081,4.08,15.2
La-137,0.016027027,0.0283,0.0881
La-138,0.177027027,14.2,45.1
La-140,0.316216216,13.7,46.8
La-141,0.003513514,17,49.3
La-142,0.294594595,16.5,53.8
La-143,0.035405405,14.2,47
Lu-165,0.161621622,6.43,32.5
Lu-167,0.236216216,11.6,45.5
Lu-169,0.186756757,11.8,41.5
Lu-170,0.32972973,16.8,52.2
Lu-171m,4.97297E-05,0.137,0.487
Lu-171,0.108918919,5.87,23.3
Lu-172,0.283783784,10.5,35.9
Lu-173,0.03,0.262,3.2
Lu-174,0.018189189,2.81,32.7
Lu-174m,0.010675676,0.128,1.18
Lu-176,0.070540541,1.16,4.58
Lu-176m,0.001972973,0.145,0.527
Lu-177,0.004891892,0.542,2.11
Lu-177m,0.147837838,1.15,5.93
Lu-178,0.017162162,14.5,46.1
Lu-178m,0.156756757,1.82,7.79
Lu-179,0.004189189,0.907,3.5
Lu-180,0.214864865,11,40.3
Lu-181,0.087027027,5.09,20.7
Mg-27,0.132162162,11,32.6
Mg-28,0.206486486,11.3,40.7
Mn-50m,0.67027027,10.5,36.9
Mn-51,0.154864865,4.97,15.2
Mn-52,0.497297297,11.9,38.8
Mn-52m,0.345945946,9.6,38.9
Mn-54,0.125135135,10.1,29.9
Mn-56,0.230810811,14.1,44.7
Mn-57,0.013783784,5.83,27.2
Mn-58m,0.335135135,13,41.7
Mo-101,0.209189189,11.4,41.2
Mo-102,0.002891892,0.582,2.27
Mo-89,0.187027027,5.65,19.4
Mo-90,0.195405405,0.879,13.8
Mo-91m,0.206756757,8.42,33.1
Mo-91,0.154594595,4.88,15.4
Mo-93,0.055675676,0.00673,0.0221
Mo-93m,0.343243243,11,41.2
Mo-99,0.024783784,5.83,23.4
N-13,0.158378378,4.95,15.1
N-16,0.383783784,21.7,61.5
Na-22,0.318918919,9.2,35.7
Na-24,0.491891892,19.9,58.1
Nb-87,0.226756757,2.47,12.7
Nb-88m,0.605405405,8.65,33
Nb-88,0.664864865,7.54,29.7
Nb-89,0.206756757,7.01,32.8
Nb-89m,0.214324324,4.71,15.5
Nb-90,0.591891892,12.7,48.4
Nb-91,0.061081081,0.00657,0.0218
Nb-91m,0.050540541,0.00779,0.0383
Nb-92,0.283783784,5.91,25.6
Nb-92m,0.202162162,6.03,29.4
Nb-93m,0.009945946,0.00673,0.0221
Nb-94m,0.038378378,0.00696,0.0241
Nb-94,0.234864865,9.36,28.1
Nb-95,0.115945946,9.03,26.8
Nb-95m,0.046216216,0.0101,0.929
Nb-96,0.367567568,9.31,30.9
Nb-97,0.101891892,7.38,22.3
Nb-98m,0.408108108,11,36.1
Nb-99,0.054324324,0.0222,0.565
Nb-99m,0.09972973,14.2,51.6
Nd-134,0.08972973,2,13.8
Nd-135,0.200810811,3.92,15.9
Nd-136,0.055405405,1.02,14.8
Nd-137,0.184594595,6.54,28.7
Nd-138,0.016135135,0.0468,0.697
Nd-139,0.074594595,4.73,19.8
Nd-139m,0.244864865,8.79,31.4
Nd-140,0.013621622,0.0374,0.118
Nd-141,0.020675676,0.0934,13.7
Nd-141m,0.105945946,8.76,26.2
Nd-147,0.025162162,1.48,11.9
Nd-149,0.057297297,1.7,11.6
Nd-151,0.123513514,7.92,33.4
Nd-152,0.02972973,1.04,4.98
Ne-19,0.158378378,4.95,15.1
Ne-24,0.083513514,4.69,15.4
Ni-56,0.252702703,7.46,28.3
Ni-57,0.268378378,12.5,44.7
Ni-65,0.076486486,15.7,47.3
Np-232,0.209459459,4.63,25.3
Np-233,0.027027027,0.023,0.554
Np-234,0.172972973,11.9,45.1
Np-235,0.014540541,0.007,0.0233
Np-236,0.07972973,0.0119,0.356
Np-236m,0.016972973,0.0188,0.703
Np-237,0.032432432,0.0091,0.0552
Np-238,0.099189189,9.96,34.3
Np-239,0.046486486,0.0674,1.77
Np-240,0.194324324,5.14,25.4
Np-240m,0.06,4.95,23
Np-241,0.011054054,0.0318,1.06
Np-242,0.038918919,12.6,42.7
Np-242m,0.175405405,5.4,26.3
O-14,0.42972973,12.4,50.5
O-15,0.158378378,4.95,15.1
O-19,0.128648649,11.9,44.2
Os-180,0.025108108,0.321,10.8
Os-181,0.197027027,9.03,36
Os-182,0.064864865,2.46,12.5
Os-183,0.093513514,2.55,13.8
Os-183m,0.144594595,12.4,38.7
Os-185,0.105405405,6.89,22.4
Os-190m,0.242432432,4.11,15.4
Os-191,0.010918919,0.227,0.715
Os-191m,0.000840541,0.162,0.531
Os-193,0.009837838,2,10.5
Os-194,0.00072973,0.0582,0.184
Os-196,0.011918919,1.91,10.4
P-30,0.158648649,4.96,15.2
Pa-227,0.014405405,0.00952,0.174
Pa-228,0.241621622,5.73,30.4
Pa-229,0.025756757,0.0143,0.321
Pa-230,0.126216216,5,26.6
Pa-231,0.033513514,0.00972,0.761
Pa-232,0.161081081,7.05,28.5
Pa-233,0.053513514,0.304,4.31
Pa-234,0.255135135,6.33,28.8
Pa-234m,0.002205405,9.33,33.3
Pa-236,0.141621622,9.68,39.2
Pa-237,0.092432432,8.53,27.6
Pb-194,0.152972973,8.39,36.8
Pb-195m,0.247567568,5.39,23
Pb-196,0.072432432,2.37,13.8
Pb-197,0.213783784,9.92,40.1
Pb-197m,0.173783784,4.87,23.3
Pb-198,0.063783784,1.87,11.5
Pb-199,0.145945946,8.66,38.8
Pb-200,0.028108108,0.49,3.33
Pb-201,0.111351351,4.26,23.9
Pb-201m,0.055945946,6.35,20.1
Pb-202m,0.3,7.85,27.8
Pb-203,0.045405405,1.08,4.4
Pb-204m,0.308108108,8.89,30.3
Pb-210,0.002494595,0.00875,0.073
Pb-211,0.00972973,6.25,23.8
Pb-212,0.021405405,0.756,2.88
Pb-214,0.038648649,1.88,7.48
Pd-100,0.082972973,0.0106,0.164
Pd-101,0.118378378,0.0336,12.6
Pd-103,0.038108108,0.00811,0.0267
Pd-109m,0.028378378,0.143,1.39
Pd-109,0.017540541,0.0112,0.0378
Pd-111,0.007108108,8.13,33.1
Pd-112,0.019405405,0.00716,0.0235
Pd-114,0.004108108,0.689,3.56
Pd-96,0.242702703,5.98,25.1
Pd-97,0.348648649,8.16,37.2
